CNES - Equipes de Saúde - Brasil
Quantidade por Município e Ano/mês compet.
Período:2023
"Município";"2023/Jan";"2023/Fev";"2023/Mar";"2023/Abr";"2023/Mai";"2023/Jun";"2023/Jul";"2023/Ago";"2023/Set";"2023/Out";"2023/Nov";"2023/Dez"
"311990 CORREGO DO BOM JESUS";2;2;2;2;2;2;2;2;2;2;2;2
"311995 CORREGO FUNDO";5;5;5;5;5;5;5;5;5;5;5;5
"312000 CORREGO NOVO";4;4;4;4;4;4;4;4;4;4;4;4
"312010 COUTO DE MAGALHAES DE MINAS";5;5;5;5;5;5;5;5;5;5;5;5
"312015 CRISOLITA";7;7;7;7;7;7;7;7;7;7;7;7
"312020 CRISTAIS";11;11;11;11;12;12;12;12;12;12;12;12
"312030 CRISTALIA";6;6;6;6;6;6;6;6;6;6;6;6
"312040 CRISTIANO OTONI";4;4;4;4;4;4;4;4;4;4;4;4
"312050 CRISTINA";7;7;7;7;7;7;7;7;7;7;7;7
"312060 CRUCILANDIA";6;6;6;6;6;6;6;6;6;6;6;6
"312070 CRUZEIRO DA FORTALEZA";5;5;5;5;5;5;5;5;5;5;5;5
"312080 CRUZILIA";14;14;14;14;14;14;14;14;14;14;13;13
"312083 CUPARAQUE";4;4;4;4;6;7;7;7;7;7;7;7
"312087 CURRAL DE DENTRO";9;9;9;9;9;9;9;9;9;9;9;9
"312090 CURVELO";31;31;31;31;31;34;34;34;35;35;37;37
"312100 DATAS";7;7;7;7;7;7;8;9;9;9;9;9
"312110 DELFIM MOREIRA";4;4;4;4;4;4;4;5;5;5;5;5
"312120 DELFINOPOLIS";7;7;7;7;7;7;7;7;7;7;7;7
"312125 DELTA";5;5;5;5;5;6;6;6;6;6;6;6
"312130 DESCOBERTO";5;5;5;5;5;5;5;5;5;5;5;5
"312140 DESTERRO DE ENTRE RIOS";6;6;6;7;7;7;7;7;7;7;7;7
"312150 DESTERRO DO MELO";3;3;3;3;3;3;3;3;3;3;3;3
"312160 DIAMANTINA";25;25;25;33;34;34;34;34;34;34;34;30
"312170 DIOGO DE VASCONCELOS";5;5;5;5;5;5;5;5;5;5;5;5
"312180 DIONISIO";9;9;9;9;9;9;9;9;9;9;9;9
"312190 DIVINESIA";5;5;5;5;5;5;5;5;5;5;5;5
"312200 DIVINO";14;14;14;15;15;16;17;17;17;17;17;18
"312210 DIVINO DAS LARANJEIRAS";5;5;5;5;5;5;5;5;5;5;5;5
"312220 DIVINOLANDIA DE MINAS";7;7;7;8;8;8;8;8;8;8;8;8
"312230 DIVINOPOLIS";107;108;108;111;113;129;129;129;130;131;131;131
"312235 DIVISA ALEGRE";7;7;7;7;7;7;7;7;7;7;7;7
"312240 DIVISA NOVA";5;5;5;5;6;6;6;6;6;6;6;6
"312245 DIVISOPOLIS";8;8;8;8;8;9;9;9;9;9;9;9
"312247 DOM BOSCO";3;3;3;3;3;4;4;5;5;5;5;5
"312250 DOM CAVATI";7;7;7;8;8;8;8;8;8;8;8;8
"312260 DOM JOAQUIM";5;5;5;5;5;5;5;5;5;5;5;5
"312270 DOM SILVERIO";5;5;5;5;5;5;5;5;5;5;5;5
"312280 DOM VICOSO";2;2;2;2;3;3;3;3;3;3;3;3
"312290 DONA EUSEBIA";7;7;7;7;7;7;7;7;7;7;7;7
"312300 DORES DE CAMPOS";5;5;5;5;5;5;5;5;5;5;5;5
"312310 DORES DE GUANHAES";7;7;7;7;7;7;7;7;7;7;7;7
"312320 DORES DO INDAIA";9;9;9;9;9;9;9;9;9;9;9;9
"312330 DORES DO TURVO";5;5;5;5;5;5;5;5;5;5;5;5
"312340 DORESOPOLIS";3;3;3;3;3;3;3;3;3;3;3;3
"312350 DOURADOQUARA";3;3;3;3;3;3;3;3;3;3;3;3
"312352 DURANDE";7;7;7;7;7;7;7;7;7;7;7;7
"312360 ELOI MENDES";12;12;12;12;12;13;14;14;14;14;14;14
"312370 ENGENHEIRO CALDAS";10;10;10;10;10;10;10;10;10;10;10;10
"312380 ENGENHEIRO NAVARRO";9;9;9;9;9;9;9;9;9;9;9;10
"312385 ENTRE FOLHAS";6;6;6;6;6;6;6;6;6;6;6;6
"312390 ENTRE RIOS DE MINAS";10;10;10;10;10;13;12;12;12;11;11;11
"312400 ERVALIA";18;18;18;18;18;19;19;19;19;19;19;19
"312410 ESMERALDAS";30;30;30;30;30;33;33;32;32;32;32;32
"312420 ESPERA FELIZ";15;15;15;15;15;15;15;15;15;15;15;15
"312430 ESPINOSA";22;22;22;22;22;22;22;22;22;22;22;22
"312440 ESPIRITO SANTO DO DOURADO";2;2;2;2;2;3;3;3;3;3;3;3
"312450 ESTIVA";7;7;7;7;7;8;8;8;12;12;12;12
"312460 ESTRELA DALVA";2;2;2;2;2;2;2;2;2;2;2;2
"312470 ESTRELA DO INDAIA";3;3;3;3;3;3;3;3;3;3;3;3
"312480 ESTRELA DO SUL";5;5;5;5;5;5;5;5;5;5;5;5
"312490 EUGENOPOLIS";11;11;11;12;12;13;13;13;13;13;13;13
"312500 EWBANK DA CAMARA";5;5;5;5;5;5;5;5;5;5;5;5
"312510 EXTREMA";43;43;43;43;44;44;44;44;44;44;45;45
"312520 FAMA";3;3;3;3;3;3;3;3;3;3;3;3
"312530 FARIA LEMOS";2;2;2;2;3;3;3;3;3;3;3;3
"312540 FELICIO DOS SANTOS";7;7;7;7;7;7;7;7;7;7;7;7
"312550 SAO GONCALO DO RIO PRETO";4;4;4;5;5;5;5;5;5;5;5;5
"312560 FELISBURGO";7;7;7;7;7;7;7;7;7;7;7;7
"312570 FELIXLANDIA";12;12;12;14;14;14;14;14;14;14;14;14
"312580 FERNANDES TOURINHO";4;4;4;4;4;4;4;4;4;4;4;4
"312590 FERROS";7;7;7;7;8;8;8;8;8;8;8;8
"312595 FERVEDOURO";9;9;9;9;9;9;9;9;9;9;9;9
"312600 FLORESTAL";3;3;3;3;3;5;5;3;5;5;5;5
"312610 FORMIGA";36;36;36;36;38;38;38;38;38;39;40;40
"312620 FORMOSO";6;6;6;6;7;7;7;7;7;7;7;7
"312630 FORTALEZA DE MINAS";3;3;3;3;2;3;3;3;3;3;3;3
"312640 FORTUNA DE MINAS";3;3;3;3;3;3;3;3;3;3;3;3
"312650 FRANCISCO BADARO";13;13;13;13;13;13;13;13;13;13;13;11
"312660 FRANCISCO DUMONT";7;7;7;7;7;7;7;7;7;7;7;7
"312670 FRANCISCO SA";24;24;24;24;24;25;25;25;25;25;25;25
"312675 FRANCISCOPOLIS";5;5;5;5;5;5;5;5;5;5;5;5
"312680 FREI GASPAR";7;7;7;7;7;7;7;7;7;7;7;7
"312690 FREI INOCENCIO";9;9;9;9;9;11;11;11;11;11;11;11
"312695 FREI LAGONEGRO";3;3;3;3;3;4;4;4;4;4;4;4
"312700 FRONTEIRA";8;8;8;8;8;9;12;12;12;12;12;12
"312705 FRONTEIRA DOS VALES";5;5;5;5;5;5;5;5;5;5;5;5
"312707 FRUTA DE LEITE";7;7;7;7;7;7;7;7;7;7;7;7
"312710 FRUTAL";18;18;18;18;20;37;37;37;35;36;37;37
"312720 FUNILANDIA";4;4;4;4;4;5;5;5;5;5;5;5
"312730 GALILEIA";5;5;5;5;6;6;6;6;6;6;6;6
"312733 GAMELEIRAS";7;7;7;7;7;7;7;7;7;7;7;7
"312735 GLAUCILANDIA";5;5;5;5;5;5;5;5;5;5;5;5
"312737 GOIABEIRA";5;5;5;5;5;6;6;6;6;6;6;6
"312738 GOIANA";5;5;5;5;5;5;5;5;5;5;5;5
"312740 GONCALVES";2;2;2;2;2;4;4;4;4;4;4;4
"312750 GONZAGA";7;7;7;7;7;7;7;7;7;7;7;7
"312760 GOUVEIA";12;12;12;12;12;12;12;12;12;12;12;12
"312770 GOVERNADOR VALADARES";148;148;148;147;146;146;146;149;149;144;142;142
"312780 GRAO MOGOL";15;15;15;15;15;15;15;15;15;15;15;15
"312790 GRUPIARA";3;3;3;3;3;3;3;3;3;3;3;3
"312800 GUANHAES";29;29;29;29;29;29;29;29;30;30;30;30
"312810 GUAPE";11;11;11;11;11;11;11;11;11;11;11;11
"312820 GUARACIABA";9;9;9;9;9;9;9;9;9;9;9;9
"312825 GUARACIAMA";5;5;5;5;5;5;5;5;5;5;5;5
"312830 GUARANESIA";14;14;14;14;14;14;14;14;14;14;14;14
"312840 GUARANI";7;7;7;7;7;8;8;10;10;10;10;10
"312850 GUARARA";4;4;4;4;4;4;4;4;4;4;4;4
"312860 GUARDA-MOR";7;7;7;7;7;7;7;7;7;7;7;7
"312870 GUAXUPE";14;14;14;14;14;16;16;16;23;22;22;22
"312880 GUIDOVAL";7;7;7;7;7;7;7;7;7;7;7;7
"312890 GUIMARANIA";6;6;6;6;6;6;7;7;7;7;7;7
"312900 GUIRICEMA";7;7;7;7;7;8;8;8;8;8;8;8
"312910 GURINHATA";7;7;7;7;7;7;7;7;7;7;7;7
"312920 HELIODORA";3;3;3;3;3;3;4;5;5;5;5;5
"312930 IAPU";13;13;13;13;13;13;13;13;12;12;12;12
"312940 IBERTIOGA";6;6;6;6;6;6;6;6;6;6;6;6
"312950 IBIA";15;15;15;15;15;15;15;15;15;15;15;15
"312960 IBIAI";8;8;8;8;8;8;9;9;9;9;9;9
"312965 IBIRACATU";7;7;7;7;7;7;7;7;7;7;7;7
"312970 IBIRACI";6;6;6;6;6;6;6;6;6;6;6;6
"312980 IBIRITE";70;70;70;70;70;72;72;72;73;73;73;73
"312990 IBITIURA DE MINAS";3;3;3;3;3;3;3;3;3;3;3;3
"313000 IBITURUNA";3;3;3;3;3;4;3;2;2;2;3;3
"313005 ICARAI DE MINAS";13;13;13;13;13;13;13;13;13;13;13;13
"313010 IGARAPE";21;21;21;21;21;21;21;21;21;22;23;23
"313020 IGARATINGA";10;10;10;10;11;12;12;12;12;12;12;13
"313030 IGUATAMA";9;9;9;9;13;10;10;10;10;10;10;10
"313040 IJACI";5;5;5;5;6;6;6;7;7;7;7;7
"313050 ILICINEA";10;10;10;10;11;11;11;11;11;11;11;11
"313055 IMBE DE MINAS";7;7;7;7;7;7;7;7;7;7;7;7
"313060 INCONFIDENTES";3;3;3;3;3;4;4;4;5;5;5;5
"313065 INDAIABIRA";9;9;9;9;9;9;9;9;9;9;9;9
"313070 INDIANOPOLIS";7;7;7;7;7;7;7;7;7;7;7;7
"313080 INGAI";3;3;3;3;3;3;3;3;3;3;3;3
"313090 INHAPIM";22;22;22;22;22;22;22;22;22;22;22;22
"313100 INHAUMA";6;6;6;6;6;6;6;6;6;6;6;6
"313110 INIMUTABA";6;6;6;6;6;6;6;6;6;6;6;6
"313115 IPABA";13;13;13;13;13;13;13;13;15;15;17;17
"313120 IPANEMA";14;14;14;14;14;14;14;14;14;14;14;14
"313130 IPATINGA";114;114;114;114;130;130;130;130;130;130;130;130
"313140 IPIACU";4;4;4;4;4;4;4;4;4;4;4;4
"313150 IPUIUNA";9;9;9;9;9;9;9;9;9;9;9;9
"313160 IRAI DE MINAS";5;5;5;5;5;5;5;5;5;5;5;5
"313170 ITABIRA";60;60;61;62;62;66;66;66;66;69;69;69
"313180 ITABIRINHA";11;11;11;11;11;11;11;11;11;11;11;11
"313190 ITABIRITO";27;27;27;27;28;28;28;28;28;28;29;29
"313200 ITACAMBIRA";7;7;7;7;7;7;7;7;7;7;7;7
"313210 ITACARAMBI";15;15;15;15;15;15;15;15;15;15;15;15
"313220 ITAGUARA";11;11;11;11;11;11;11;11;11;11;11;11
"313230 ITAIPE";10;10;10;10;10;10;10;10;10;10;10;10
"313240 ITAJUBA";47;47;47;47;58;57;57;57;57;57;57;57
"313250 ITAMARANDIBA";23;23;23;23;23;23;23;23;23;23;24;24
"313260 ITAMARATI DE MINAS";4;4;4;4;4;4;4;4;4;4;4;4
"313270 ITAMBACURI";27;27;27;27;27;27;27;27;27;27;27;27
"313280 ITAMBE DO MATO DENTRO";3;3;3;3;3;3;3;3;3;3;3;3
"313290 ITAMOGI";9;9;9;9;9;9;9;9;9;9;9;9
"313300 ITAMONTE";13;13;13;13;13;13;13;13;13;13;13;13
"313310 ITANHANDU";8;8;8;8;9;10;10;10;10;10;10;10
"313320 ITANHOMI";9;9;9;9;9;9;9;9;9;9;9;9
"313330 ITAOBIM";22;22;22;23;23;23;23;23;23;24;24;24
"313340 ITAPAGIPE";8;8;8;8;8;8;8;8;8;8;8;9
"313350 ITAPECERICA";13;13;13;14;14;14;14;14;14;14;14;14
"313360 ITAPEVA";5;5;5;5;5;8;8;8;8;8;8;8
"313370 ITATIAIUCU";9;9;9;9;9;9;9;9;9;9;9;9
"313375 ITAU DE MINAS";11;11;11;11;11;11;11;11;11;11;11;11
"313380 ITAUNA";31;31;31;31;31;31;31;31;31;31;31;31
"313390 ITAVERAVA";7;7;7;7;7;7;7;7;7;7;7;7
"313400 ITINGA";12;12;12;12;12;12;12;12;12;12;12;12
"313410 ITUETA";8;8;8;8;8;8;8;8;8;8;8;8
"313420 ITUIUTABA";33;33;33;33;34;35;35;35;34;34;36;36
"313430 ITUMIRIM";6;6;6;6;6;6;7;7;7;7;7;7
"313440 ITURAMA";17;17;19;20;20;20;20;19;19;19;19;19
"313450 ITUTINGA";3;3;3;3;3;3;3;3;4;4;4;4
"313460 JABOTICATUBAS";9;9;9;10;10;10;10;10;10;10;10;10
"313470 JACINTO";14;14;14;14;14;14;14;14;14;14;14;14
"313480 JACUI";6;6;6;6;6;6;6;6;6;6;6;6
"313490 JACUTINGA";10;10;10;10;10;10;10;10;10;10;10;10
"313500 JAGUARACU";4;4;4;4;4;4;4;4;4;4;4;4
"313505 JAIBA";27;27;27;27;33;35;35;35;35;35;35;35
"313507 JAMPRUCA";5;5;5;5;5;5;5;5;5;5;5;5
"313510 JANAUBA";55;55;55;56;56;57;57;57;57;57;57;57
"313520 JANUARIA";39;39;39;39;39;42;42;42;39;42;42;42
"313530 JAPARAIBA";4;4;4;4;4;4;5;5;5;5;5;5
"313535 JAPONVAR";9;9;9;9;9;9;8;9;9;9;9;10
"313540 JECEABA";5;5;5;5;5;5;5;5;5;5;5;5
"313545 JENIPAPO DE MINAS";7;7;8;8;9;9;9;9;9;9;9;9
"313550 JEQUERI";12;12;12;12;12;12;12;12;12;12;12;12
"313560 JEQUITAI";6;6;6;6;7;7;7;7;7;7;7;7
"313570 JEQUITIBA";6;6;6;6;6;6;6;6;6;6;6;6
"313580 JEQUITINHONHA";24;24;24;24;24;26;26;26;26;26;26;26
"313590 JESUANIA";6;6;6;6;6;4;4;6;6;6;6;6
"313600 JOAIMA";15;15;15;15;15;15;15;15;15;15;15;15
"313610 JOANESIA";6;6;6;6;6;6;6;6;6;6;6;6
"313620 JOAO MONLEVADE";23;23;23;23;23;23;29;29;29;29;29;29
"313630 JOAO PINHEIRO";23;23;23;23;23;24;25;25;25;25;25;25
"313640 JOAQUIM FELICIO";5;5;5;5;5;5;5;5;5;5;5;5
"313650 JORDANIA";11;11;11;11;11;11;11;11;11;11;11;11
"313652 JOSE GONCALVES DE MINAS";6;6;6;6;6;7;7;7;7;7;7;7
"313655 JOSE RAYDAN";4;4;4;4;4;7;7;7;7;7;7;7
"313657 JOSENOPOLIS";5;5;5;5;5;5;5;5;5;5;5;5
"313660 NOVA UNIAO";6;6;6;6;6;6;6;6;6;6;6;6
"313665 JUATUBA";29;29;29;28;28;28;30;30;30;30;30;30
"313670 JUIZ DE FORA";118;118;118;118;117;117;117;123;123;127;127;128
"313680 JURAMENTO";4;4;4;4;4;4;4;4;4;4;4;4
"313690 JURUAIA";12;12;11;12;12;12;12;12;12;12;12;12
"313695 JUVENILIA";7;7;7;7;7;7;7;7;7;7;7;7
"313700 LADAINHA";12;12;12;12;12;13;13;13;13;13;13;13
"313710 LAGAMAR";7;7;7;8;8;8;8;8;8;8;8;8
"313720 LAGOA DA PRATA";18;18;18;18;18;18;18;19;19;19;19;19
"313730 LAGOA DOS PATOS";5;5;5;5;5;5;5;5;5;5;5;5
"313740 LAGOA DOURADA";10;10;10;10;10;10;10;10;10;10;10;10
"313750 LAGOA FORMOSA";16;16;16;16;16;17;17;17;17;17;17;17
"313753 LAGOA GRANDE";6;6;6;6;8;8;8;10;10;10;10;10
"313760 LAGOA SANTA";44;44;44;44;45;49;49;49;48;51;51;51
"313770 LAJINHA";14;14;14;14;14;14;14;14;14;14;14;14
"313780 LAMBARI";10;10;10;10;10;10;10;10;10;10;10;10
"313790 LAMIM";4;4;4;4;4;5;5;5;5;5;5;5
"313800 LARANJAL";7;7;7;7;7;7;7;7;7;7;7;7
"313810 LASSANCE";7;7;7;7;7;7;7;7;7;7;7;7
"313820 LAVRAS";39;39;39;40;41;41;41;41;41;41;41;41
"313830 LEANDRO FERREIRA";3;3;3;3;3;4;4;4;4;4;4;4
"313835 LEME DO PRADO";5;5;5;5;5;6;6;6;6;6;6;6
"313840 LEOPOLDINA";30;30;30;30;30;30;30;30;30;30;30;30
"313850 LIBERDADE";4;4;4;4;4;4;4;4;4;4;4;4
"313860 LIMA DUARTE";11;11;11;11;11;11;10;10;10;10;11;11
"313862 LIMEIRA DO OESTE";6;6;6;6;6;6;6;6;7;7;8;8
"313865 LONTRA";8;8;8;8;8;8;8;8;8;8;8;8
"313867 LUISBURGO";7;7;7;7;7;7;7;7;7;7;7;7
"313868 LUISLANDIA";7;7;7;7;7;7;7;7;7;7;7;7
"313870 LUMINARIAS";4;4;4;4;4;5;5;5;5;5;5;5
"313880 LUZ";10;10;10;10;10;11;11;11;15;15;18;18
"313890 MACHACALIS";9;9;9;9;9;9;9;9;9;9;9;9
"313900 MACHADO";23;23;23;23;23;25;25;25;25;29;29;30
"313910 MADRE DE DEUS DE MINAS";5;5;5;5;5;6;6;6;6;6;6;6
"313920 MALACACHETA";16;16;16;16;16;16;16;16;16;16;16;16
"313925 MAMONAS";6;6;6;6;7;7;7;7;7;7;7;7
"313930 MANGA";16;16;16;16;17;17;17;16;16;16;16;16
"313940 MANHUACU";43;43;43;43;43;45;45;47;47;47;47;47
"313950 MANHUMIRIM";16;16;16;16;16;16;16;16;16;16;16;16
"313960 MANTENA";27;27;27;27;27;27;27;27;27;27;27;27
"313970 MARAVILHAS";5;5;5;5;5;6;7;7;8;8;8;8
"313980 MAR DE ESPANHA";8;8;8;8;8;8;8;8;8;8;8;8
"313990 MARIA DA FE";7;7;7;7;7;8;8;8;8;8;8;8
"314000 MARIANA";29;29;29;29;29;29;29;29;29;29;29;29
"314010 MARILAC";5;5;5;5;5;5;5;5;5;5;5;5
"314015 MARIO CAMPOS";9;9;9;9;9;9;9;9;9;9;9;9
"314020 MARIPA DE MINAS";2;2;2;2;2;2;2;2;2;2;2;2
"314030 MARLIERIA";5;5;5;5;5;5;5;5;5;5;5;5
"314040 MARMELOPOLIS";2;2;2;2;2;3;3;3;3;3;3;3
"314050 MARTINHO CAMPOS";12;12;12;12;12;12;12;12;12;12;12;12
"314053 MARTINS SOARES";9;9;9;8;8;8;8;8;8;8;8;8
"314055 MATA VERDE";7;7;7;7;7;7;7;7;7;7;7;7
"314060 MATERLANDIA";5;5;5;5;5;5;5;5;5;5;5;5
"314070 MATEUS LEME";20;20;20;20;25;28;28;28;28;28;28;28
"314080 MATIAS BARBOSA";6;6;6;6;6;6;6;6;6;6;6;6
"314085 MATIAS CARDOSO";10;10;10;10;11;11;11;11;11;11;11;11
"314090 MATIPO";17;17;16;16;16;16;16;16;16;17;17;17
"314100 MATO VERDE";13;13;13;13;13;13;13;13;13;13;13;13
"314110 MATOZINHOS";15;15;15;15;15;15;15;15;15;15;15;15
"314120 MATUTINA";4;4;4;4;4;4;4;4;4;4;4;4
"314130 MEDEIROS";4;4;4;4;4;4;4;4;4;4;4;4
"314140 MEDINA";19;19;19;19;19;19;19;19;19;19;19;19
"314150 MENDES PIMENTEL";7;7;7;7;7;7;7;7;7;7;7;7
"314160 MERCES";9;9;9;8;8;12;12;12;12;12;12;12
"314170 MESQUITA";7;7;7;7;7;7;7;7;7;7;7;7
"314180 MINAS NOVAS";24;24;24;24;26;26;26;26;26;26;27;27
"314190 MINDURI";3;3;3;3;3;4;4;4;3;4;4;4
"314200 MIRABELA";14;14;14;14;14;15;15;15;15;15;15;15
"314210 MIRADOURO";10;10;10;10;10;10;10;10;11;11;11;11
"314220 MIRAI";11;11;11;11;11;11;11;11;11;11;11;11
"314225 MIRAVANIA";5;5;5;5;5;5;5;5;5;5;5;5
"314230 MOEDA";5;5;5;5;5;5;5;5;5;5;5;5
"314240 MOEMA";8;8;8;8;8;8;8;8;8;8;8;8
"314250 MONJOLOS";3;3;3;3;3;3;3;3;3;3;3;3
"314260 MONSENHOR PAULO";3;3;3;3;3;6;6;6;6;6;6;6
"314270 MONTALVANIA";16;16;16;16;16;16;16;16;16;16;16;16
"314280 MONTE ALEGRE DE MINAS";11;11;11;11;11;11;11;11;11;11;12;12
"314290 MONTE AZUL";24;24;25;25;25;25;26;26;26;26;26;26
"314300 MONTE BELO";4;4;4;6;6;9;9;9;9;9;9;8
"314310 MONTE CARMELO";26;26;26;26;26;28;28;28;28;28;28;28
"314315 MONTE FORMOSO";4;4;4;4;4;5;5;5;5;5;5;5
"314320 MONTE SANTO DE MINAS";17;17;17;17;17;18;18;18;18;18;18;18
"314330 MONTES CLAROS";280;281;281;281;281;295;298;300;302;304;307;315
"314340 MONTE SIAO";10;10;10;10;10;10;10;10;10;10;10;10
"314345 MONTEZUMA";9;9;9;9;9;9;9;9;9;9;9;9
"314350 MORADA NOVA DE MINAS";9;9;9;9;10;10;10;10;10;10;10;10
"314360 MORRO DA GARCA";3;3;3;3;3;3;3;3;3;3;3;3
"314370 MORRO DO PILAR";4;4;4;4;4;4;4;4;4;4;4;4
"314380 MUNHOZ";3;3;3;3;3;4;4;4;4;4;4;4
"314390 MURIAE";75;75;75;75;72;72;72;72;76;76;77;80
"314400 MUTUM";21;21;21;21;21;21;21;21;21;21;21;21
"314410 MUZAMBINHO";12;12;12;12;12;12;12;12;12;12;12;12
"314420 NACIP RAYDAN";4;4;4;4;4;5;5;5;5;5;5;5
"314430 NANUQUE";18;18;18;21;21;21;21;21;21;23;23;23
"314435 NAQUE";6;6;6;6;5;5;5;5;5;5;5;7
"314437 NATALANDIA";3;3;3;3;3;4;4;4;4;4;4;4
"314440 NATERCIA";4;4;4;4;4;4;6;6;6;6;6;6
"314450 NAZARENO";8;8;8;8;8;8;8;8;8;8;8;8
"314460 NEPOMUCENO";13;13;13;13;13;16;16;16;16;16;16;16
"314465 NINHEIRA";11;11;11;11;11;11;11;11;11;11;11;11
"314467 NOVA BELEM";5;5;5;5;5;5;5;5;5;5;5;5
"314470 NOVA ERA";11;11;11;11;12;13;13;13;13;13;13;13
"314480 NOVA LIMA";82;82;82;82;83;83;83;83;83;83;83;83
"314490 NOVA MODICA";5;5;5;5;5;5;5;5;5;5;5;5
"314500 NOVA PONTE";11;11;11;11;11;11;11;11;11;11;11;11
"314505 NOVA PORTEIRINHA";9;9;9;9;9;9;9;9;9;9;9;9
"314510 NOVA RESENDE";9;9;9;9;9;9;9;9;9;9;9;9
"314520 NOVA SERRANA";37;37;37;37;37;38;38;38;38;38;38;38
"314530 NOVO CRUZEIRO";19;19;19;19;19;19;19;19;19;18;18;18
"314535 NOVO ORIENTE DE MINAS";8;8;8;8;8;8;8;8;8;8;9;9
"314537 NOVORIZONTE";7;7;7;7;7;7;7;7;7;7;7;7
"314540 OLARIA";3;3;3;3;3;3;3;3;3;3;3;3
"314545 OLHOS-D'AGUA";7;7;7;7;7;7;7;7;7;7;7;7
"314550 OLIMPIO NORONHA";3;3;3;3;3;3;3;3;3;3;3;3
"314560 OLIVEIRA";27;27;27;27;26;26;26;26;26;26;26;26
"314570 OLIVEIRA FORTES";2;2;2;2;2;2;2;2;2;2;2;2
"314580 ONCA DE PITANGUI";3;3;3;3;3;3;3;3;3;3;3;3
"314585 ORATORIOS";4;4;4;4;4;4;4;4;4;4;4;4
"314587 ORIZANIA";7;7;7;7;7;7;7;7;7;7;7;7
"314590 OURO BRANCO";15;15;15;15;15;19;19;19;17;21;21;21
"314600 OURO FINO";7;7;7;7;7;7;7;7;8;8;8;8
"314610 OURO PRETO";32;32;31;32;32;41;41;41;41;41;41;41
"314620 OURO VERDE DE MINAS";3;3;8;8;10;10;10;10;10;10;10;10
"314625 PADRE CARVALHO";6;6;6;6;6;7;7;7;7;7;7;7
"314630 PADRE PARAISO";15;15;15;15;15;15;15;15;15;15;15;15
"314640 PAINEIRAS";4;4;4;4;4;4;4;4;4;4;4;4
"314650 PAINS";7;6;6;7;7;7;7;7;7;7;7;7
"314655 PAI PEDRO";7;7;7;7;7;7;7;7;7;7;7;7
"314660 PAIVA";2;2;2;2;2;3;3;3;3;3;3;3
"314670 PALMA";7;7;7;7;7;7;7;7;7;7;7;7
"314675 PALMOPOLIS";7;7;7;7;7;7;7;7;7;7;7;7
"314690 PAPAGAIOS";9;9;9;9;9;10;9;9;10;10;10;10
"314700 PARACATU";34;34;34;34;34;41;41;41;41;41;41;41
"314710 PARA DE MINAS";61;61;61;61;62;63;63;63;63;64;64;67
"314720 PARAGUACU";14;14;14;14;14;15;15;15;15;15;15;15
"314730 PARAISOPOLIS";11;11;11;12;11;11;12;12;12;12;12;12
"314740 PARAOPEBA";9;9;9;14;14;15;15;15;15;15;15;15
"314750 PASSABEM";2;2;2;2;2;3;3;3;3;3;3;3
"314760 PASSA QUATRO";11;11;11;11;11;11;11;11;11;11;12;12
"314770 PASSA TEMPO";9;9;9;9;9;9;9;9;9;9;9;9
"314780 PASSA-VINTE";2;2;2;2;2;2;2;2;2;2;2;2
"314790 PASSOS";37;37;37;37;37;41;41;41;41;41;41;42
"314795 PATIS";7;7;7;7;7;7;7;7;7;7;7;7
"314800 PATOS DE MINAS";80;80;80;80;80;82;82;82;82;82;82;82
"314810 PATROCINIO";45;45;45;45;47;47;47;47;46;47;47;47
"314820 PATROCINIO DO MURIAE";6;6;6;6;6;6;6;6;6;6;6;6
"314830 PAULA CANDIDO";10;10;10;10;10;10;10;10;10;10;10;10
"314840 PAULISTAS";5;5;5;5;4;5;5;5;5;5;5;5
"314850 PAVAO";9;9;9;9;9;9;9;9;9;9;9;9
"314860 PECANHA";12;12;12;12;12;12;12;12;13;13;13;13
"314870 PEDRA AZUL";20;20;20;20;20;21;21;21;21;21;21;21
"314875 PEDRA BONITA";6;6;6;6;6;6;6;7;7;7;7;7
"314880 PEDRA DO ANTA";5;5;5;5;5;5;5;5;5;5;5;5
"314890 PEDRA DO INDAIA";4;4;4;5;5;5;5;5;5;5;5;5
"314900 PEDRA DOURADA";3;3;3;3;3;3;3;3;3;3;3;3
"314910 PEDRALVA";8;8;8;8;8;8;8;8;8;8;8;8
"314915 PEDRAS DE MARIA DA CRUZ";11;11;11;11;11;11;11;11;11;11;11;11
"314920 PEDRINOPOLIS";3;3;3;3;3;3;3;3;3;3;3;3
"314930 PEDRO LEOPOLDO";20;20;20;20;20;20;20;20;20;20;20;20
"314940 PEDRO TEIXEIRA";3;3;3;3;3;3;3;3;3;3;3;3
"314950 PEQUERI";5;5;5;5;5;5;5;5;5;5;5;6
"314960 PEQUI";3;3;3;3;3;4;4;4;4;4;4;4
"314970 PERDIGAO";9;9;9;9;9;10;10;10;10;10;10;10
"314980 PERDIZES";13;13;13;13;13;13;13;13;13;13;13;13
"314990 PERDOES";7;7;7;7;7;7;9;9;9;9;9;9
"314995 PERIQUITO";7;7;7;7;7;7;7;7;7;7;7;7
"315000 PESCADOR";5;5;5;5;5;5;5;5;5;5;5;5
"315010 PIAU";3;3;3;3;3;3;3;3;3;3;3;3
"315015 PIEDADE DE CARATINGA";9;9;9;9;9;9;9;9;9;9;9;9
"315020 PIEDADE DE PONTE NOVA";4;4;4;4;4;5;5;5;5;5;5;5
