CNES - Equipes de Saúde - Brasil
Quantidade por Município e Ano/mês compet.
Período:2023
"Município";"2023/Jan";"2023/Fev";"2023/Mar";"2023/Abr";"2023/Mai";"2023/Jun";"2023/Jul";"2023/Ago";"2023/Set";"2023/Out";"2023/Nov";"2023/Dez"
"150405 MAE DO RIO";22;21;21;21;21;21;21;21;21;21;21;21
"150410 MAGALHAES BARATA";10;10;10;10;9;10;10;9;9;9;9;9
"150420 MARABA";61;61;61;62;62;63;63;63;64;64;64;64
"150430 MARACANA";21;21;23;23;23;23;23;26;26;26;26;27
"150440 MARAPANIM";12;12;13;13;13;15;15;15;15;15;15;15
"150442 MARITUBA";63;63;63;63;64;69;72;72;72;72;72;72
"150445 MEDICILANDIA";13;14;14;14;14;14;14;14;15;15;15;15
"150450 MELGACO";13;13;13;13;13;13;13;13;13;13;13;13
"150460 MOCAJUBA";18;18;18;18;18;18;18;18;18;18;18;18
"150470 MOJU";23;23;23;24;24;26;26;26;26;26;26;26
"150475 MOJUI DOS CAMPOS";12;12;12;12;12;12;12;15;16;16;16;16
"150480 MONTE ALEGRE";19;19;19;19;18;18;18;19;19;19;19;19
"150490 MUANA";11;11;11;11;11;11;14;14;14;14;14;15
"150495 NOVA ESPERANCA DO PIRIA";14;14;14;14;14;14;16;17;21;21;21;21
"150497 NOVA IPIXUNA";10;10;10;10;10;10;10;10;10;10;10;10
"150500 NOVA TIMBOTEUA";15;15;15;15;15;16;16;16;16;16;16;16
"150503 NOVO PROGRESSO";19;19;19;19;19;19;19;19;19;19;19;19
"150506 NOVO REPARTIMENTO";23;22;22;22;22;22;22;22;22;22;22;22
"150510 OBIDOS";16;16;16;16;16;19;19;19;19;20;21;21
"150520 OEIRAS DO PARA";12;12;12;12;12;14;14;16;16;16;19;19
"150530 ORIXIMINA";28;28;28;28;28;28;28;28;31;34;34;34
"150540 OUREM";17;17;17;17;17;17;17;17;17;17;17;17
"150543 OURILANDIA DO NORTE";29;29;29;29;27;27;27;27;27;27;28;28
"150548 PACAJA";14;14;14;14;16;18;18;18;23;23;25;25
"150549 PALESTINA DO PARA";6;6;6;6;6;6;6;6;6;6;6;7
"150550 PARAGOMINAS";46;46;46;46;46;46;46;47;52;57;57;58
"150553 PARAUAPEBAS";98;98;98;98;98;109;109;109;109;109;109;109
"150555 PAU D'ARCO";8;8;8;8;8;9;9;9;9;9;9;9
"150560 PEIXE-BOI";10;10;10;10;10;11;11;11;11;11;11;11
"150563 PICARRA";11;11;11;11;11;11;11;11;11;11;11;11
"150565 PLACAS";10;10;10;10;10;12;12;12;13;13;13;12
"150570 PONTA DE PEDRAS";14;14;14;14;15;15;17;19;17;17;17;15
"150580 PORTEL";19;19;19;19;19;22;22;22;34;34;38;38
"150590 PORTO DE MOZ";13;13;13;13;13;13;13;13;13;13;13;13
"150600 PRAINHA";17;16;17;17;17;18;18;19;22;22;22;22
"150610 PRIMAVERA";12;12;12;12;12;12;12;12;12;12;12;12
"150611 QUATIPURU";10;10;10;10;10;11;11;11;11;11;11;11
"150613 REDENCAO";29;29;30;30;30;32;32;32;32;32;33;33
"150616 RIO MARIA";15;15;15;15;15;15;15;15;15;15;15;15
"150618 RONDON DO PARA";26;26;26;26;25;26;26;26;26;26;26;26
"150619 RUROPOLIS";20;20;19;19;20;20;20;20;20;20;20;20
"150620 SALINOPOLIS";40;40;39;39;39;44;44;44;44;44;44;45
"150630 SALVATERRA";12;12;12;12;12;12;12;12;12;12;12;12
"150635 SANTA BARBARA DO PARA";14;14;14;14;14;17;17;17;22;22;25;25
"150640 SANTA CRUZ DO ARARI";7;7;7;7;7;7;7;7;7;7;7;7
"150650 SANTA IZABEL DO PARA";44;44;44;44;44;45;46;46;46;46;46;48
"150655 SANTA LUZIA DO PARA";18;19;20;20;20;21;21;21;21;21;21;21
"150658 SANTA MARIA DAS BARREIRAS";15;15;15;15;15;16;16;16;16;16;16;16
"150660 SANTA MARIA DO PARA";23;23;23;23;23;23;23;24;24;24;24;24
"150670 SANTANA DO ARAGUAIA";27;27;27;27;27;27;27;27;27;27;27;27
"150680 SANTAREM";133;133;133;133;133;133;137;137;137;137;137;144
"150690 SANTAREM NOVO";8;8;8;8;8;8;8;8;8;8;8;8
"150700 SANTO ANTONIO DO TAUA";23;23;23;23;24;24;24;24;24;24;24;24
"150710 SAO CAETANO DE ODIVELAS";16;16;16;16;16;17;17;17;17;17;17;17
"150715 SAO DOMINGOS DO ARAGUAIA";15;15;15;15;15;15;15;15;15;15;15;15
"150720 SAO DOMINGOS DO CAPIM";30;30;30;33;33;33;33;33;33;33;33;33
"150730 SAO FELIX DO XINGU";48;48;48;48;48;49;49;49;49;49;49;49
"150740 SAO FRANCISCO DO PARA";17;17;17;17;17;17;17;17;17;17;17;17
"150745 SAO GERALDO DO ARAGUAIA";21;21;21;21;21;23;23;23;23;23;23;23
"150746 SAO JOAO DA PONTA";6;6;6;6;6;6;6;6;6;6;6;6
